JobId,SessionId,Status,Reason,Created,Completed,Program,Name,Service,Instance,Tags,Usage (seconds)
cq0cebsd7we0008nw2c0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:32:00.042378Z,2024-02-05T11:33:50.383Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0cdfn28rp0008a49kg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:30:06.132222Z,2024-02-05T11:31:57.013Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0ccehdhsd0008e5nxg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:27:54.239171Z,2024-02-05T11:30:03.948Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,81
cq0cbjed7we00081jeh0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:26:01.270557Z,2024-02-05T11:27:51.826Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,79
cq0canj7z1hg008nh1zg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:24:06.494465Z,2024-02-05T11:25:57.139Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0c9sqdhsd0008e5nt0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:22:14.160886Z,2024-02-05T11:24:04.226Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0c8wbph3s0008fn430,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:20:18.032346Z,2024-02-05T11:22:08.871Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0c7zfdhsd0008e5nrg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:18:21.957258Z,2024-02-05T11:20:12.396Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0c72wdhsd0008e5nqg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:16:28.001923Z,2024-02-05T11:18:17.828Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0c66rph3s0008fn410,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:14:35.919473Z,2024-02-05T11:16:26.206Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0c5b5dhsd0008e5np0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:12:44.342501Z,2024-02-05T11:14:33.902Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0c4bs7z1hg008nh1qg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:10:39.27803Z,2024-02-05T11:12:28.482Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0c3fxd7we00081je70,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:08:48.019674Z,2024-02-05T11:10:36.401Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0c2k2dhsd0008e5nfg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:06:53.093529Z,2024-02-05T11:08:43.575Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0c1qpd7we00081je40,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:05:02.880099Z,2024-02-05T11:06:51.098Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0c0vk28rp0008a48vg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:03:10.975038Z,2024-02-05T11:05:00.922Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0bzzzhbttg008j6ya0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:01:19.549498Z,2024-02-05T11:03:09.146Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0bz0mph3s0008fn3s0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T10:59:14.93834Z,2024-02-05T11:01:15.866Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,81
cq0by4028rp0008a48qg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T10:57:20.38409Z,2024-02-05T10:59:12.331Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0bx7cph3s0008fn3qg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T10:55:25.815225Z,2024-02-05T10:57:18.037Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,82
cq0bwas28rp0008a48k0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T10:53:31.414142Z,2024-02-05T10:55:21.819Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0bved7z1hg008xhtc0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T10:51:37.679966Z,2024-02-05T10:53:29.522Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,81
cq0bthtph3s0008fn3hg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T10:49:43.582551Z,2024-02-05T10:51:34.293Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0bsmy28rp0008a48cg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T10:47:47.514532Z,2024-02-05T10:49:39.047Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,81
cq0brrk7z1hg008xhtag,cq06xjedhsd0008e55jg,Completed,,2024-02-05T10:45:54.877397Z,2024-02-05T10:47:45.456Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0bqvz7z1hg008xhta0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T10:43:59.531823Z,2024-02-05T10:45:52.65Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,81
